Start Game with: ({'size': array([8, 3]), 'quantity': 12}, {'size': array([6, 4]), 'quantity': 8}, {'size': array([6, 5]), 'quantity': 16}, {'size': array([22,  6]), 'quantity': 15}, {'size': array([29,  1]), 'quantity': 2})
{'stock_idx': 21, 'size': [6, 15], 'position': (23, 0)}
{'stock_idx': 22, 'size': [6, 15], 'position': (0, 0)}
{'stock_idx': 0, 'size': [13, 3], 'position': (0, 30)}
{'stock_idx': 0, 'size': [13, 3], 'position': (0, 33)}
{'stock_idx': 0, 'size': [13, 3], 'position': (13, 31)}
{'stock_idx': 1, 'size': [13, 3], 'position': (0, 20)}
{'stock_idx': 1, 'size': [13, 3], 'position': (13, 20)}
{'stock_idx': 2, 'size': [13, 3], 'position': (21, 27)}
{'stock_idx': 3, 'size': [13, 3], 'position': (0, 20)}
{'stock_idx': 3, 'size': [13, 3], 'position': (13, 20)}
{'stock_idx': 4, 'size': [13, 3], 'position': (21, 27)}
{'stock_idx': 7, 'size': [13, 3], 'position': (0, 30)}
{'stock_idx': 8, 'size': [13, 3], 'position': (0, 30)}
{'stock_idx': 8, 'size': [13, 3], 'position': (0, 33)}
{'stock_idx': 0, 'size': [2, 16], 'position': (34, 0)}
{'stock_idx': 2, 'size': [2, 16], 'position': (38, 0)}
{'stock_idx': 0, 'size': [7, 4], 'position': (26, 31)}
{'stock_idx': 1, 'size': [7, 4], 'position': (26, 20)}
{'stock_idx': 3, 'size': [7, 4], 'position': (26, 20)}
{'stock_idx': 7, 'size': [7, 4], 'position': (13, 30)}
{'stock_idx': 8, 'size': [7, 4], 'position': (13, 30)}
{'stock_idx': 0, 'size': [1, 13], 'position': (36, 0)}
{'stock_idx': 2, 'size': [1, 13], 'position': (38, 16)}
{'stock_idx': 2, 'size': [1, 13], 'position': (39, 16)}
{'stock_idx': 3, 'size': [1, 13], 'position': (34, 0)}
{'stock_idx': 5, 'size': [1, 13], 'position': (38, 0)}
{'stock_idx': 0, 'size': [21, 13], 'position': (0, 0)}
{'stock_idx': 0, 'size': [21, 13], 'position': (0, 13)}
{'stock_idx': 1, 'size': [21, 13], 'position': (0, 0)}
{'stock_idx': 1, 'size': [21, 13], 'position': (0, 13)}
